Dataset_Model,Accuracy,Precision_PASS,Recall_PASS,F1_PASS,Precision_FAIL,Recall_FAIL,F1_FAIL,Macro_Precision,Macro_Recall,Macro_F1,Comments
HaluEval_LLM,85%,80%,93%,86%,92%,77%,84%,86%,85%,85%,need to run this through prediction model
HaluEval_Bedrock,81%,74%,96%,83%,94%,66%,77%,84%,81%,80%,need to run this through prediction model
HaluBench_LLM,83%,91%,77%,83%,74%,90%,82%,83%,84%,83%,test set
HaluBench_Bedrock,59%,70%,49%,58%,51%,72%,60%,61%,60%,59%,test set
Challenger_LLM,79%,70%,100%,83%,100%,58%,73%,85%,79%,78%,need to run this through prediction model
Challenger_Bedrock,81%,73%,99%,84%,98%,63%,77%,86%,81%,80%,need to run this through prediction model
,,,,,,,,,,,
HaluEval_Crossencoder,,,,,,,,,,,
HaluBench_Crossencoder,,,,,,,,,,,
Challenger_Crossencoder,,,,,,,,,,,
