test_case_id,chunk_id,pred_prob,pred_label,max_pred_prob,example_pred_label
retailbankQA_test_0,0_0,0.9983588,1,0.9983588,1
retailbankQA_test_0,0_208,0.99814177,1,0.9983588,1
retailbankQA_test_1,1_0,0.026392013,0,0.9949202,1
retailbankQA_test_1,1_124,0.8261658,1,0.9949202,1
retailbankQA_test_1,1_248,0.9949202,1,0.9949202,1
retailbankQA_test_2,2_0,0.99447906,1,0.9947725,1
retailbankQA_test_2,2_160,0.9947725,1,0.9947725,1
retailbankQA_test_3,3_0,0.9949411,1,0.9949411,1
retailbankQA_test_4,4_0,0.9985512,1,0.9985512,1
retailbankQA_test_4,4_178,0.99845994,1,0.9985512,1
retailbankQA_test_5,5_0,0.996738,1,0.99781775,1
retailbankQA_test_5,5_186,0.99781775,1,0.99781775,1
retailbankQA_test_6,6_0,0.9676485,1,0.99097556,1
retailbankQA_test_6,6_178,0.99097556,1,0.99097556,1
retailbankQA_test_7,7_0,0.998348,1,0.9983506,1
retailbankQA_test_7,7_199,0.9983506,1,0.9983506,1
retailbankQA_test_8,8_0,0.99837095,1,0.99837095,1
retailbankQA_test_8,8_133,0.99803704,1,0.99837095,1
retailbankQA_test_8,8_266,0.997373,1,0.99837095,1
retailbankQA_test_9,9_0,0.9981346,1,0.99829394,1
retailbankQA_test_9,9_157,0.99829394,1,0.99829394,1
retailbankQA_test_10,10_0,0.9714509,1,0.9763674,1
retailbankQA_test_10,10_232,0.9763674,1,0.9763674,1
retailbankQA_test_11,11_0,0.997982,1,0.997982,1
retailbankQA_test_12,12_0,0.0023835702,0,0.0023835702,0
retailbankQA_test_13,13_0,0.9953329,1,0.9982053,1
retailbankQA_test_13,13_154,0.9982053,1,0.9982053,1
retailbankQA_test_13,13_308,0.9943929,1,0.9982053,1
retailbankQA_test_14,14_0,0.9984042,1,0.9984042,1
retailbankQA_test_15,15_0,0.9979672,1,0.99812335,1
retailbankQA_test_15,15_141,0.99812335,1,0.99812335,1
retailbankQA_test_15,15_282,0.9966864,1,0.99812335,1
retailbankQA_test_16,16_0,0.9983524,1,0.9983524,1
retailbankQA_test_16,16_190,0.9981604,1,0.9983524,1
retailbankQA_test_17,17_0,0.9985734,1,0.9985734,1
retailbankQA_test_17,17_168,0.99841523,1,0.9985734,1
retailbankQA_test_18,18_0,0.9962179,1,0.9962179,1
retailbankQA_test_19,19_0,0.99822456,1,0.99822456,1
retailbankQA_test_19,19_234,0.99734074,1,0.99822456,1
retailbankQA_test_20,20_0,0.99841285,1,0.99841285,1
retailbankQA_test_21,21_0,0.99821764,1,0.99821764,1
retailbankQA_test_22,22_0,0.99853945,1,0.99853945,1
retailbankQA_test_23,23_0,0.9984755,1,0.9984755,1
retailbankQA_test_23,23_275,0.99780077,1,0.9984755,1
retailbankQA_test_24,24_0,0.9984232,1,0.9984232,1
retailbankQA_test_24,24_235,0.997815,1,0.9984232,1
retailbankQA_test_25,25_0,0.99830556,1,0.99830556,1
retailbankQA_test_25,25_265,0.9979856,1,0.99830556,1
retailbankQA_test_26,26_0,0.99590033,1,0.9982102,1
retailbankQA_test_26,26_209,0.9982102,1,0.9982102,1
retailbankQA_test_27,27_0,0.997995,1,0.997995,1
retailbankQA_test_28,28_0,0.9977785,1,0.9977785,1
retailbankQA_test_28,28_189,0.9962011,1,0.9977785,1
retailbankQA_test_29,29_0,0.9979061,1,0.9979061,1
retailbankQA_test_30,30_0,0.9985455,1,0.9985455,1
retailbankQA_test_30,30_156,0.99842787,1,0.9985455,1
retailbankQA_test_31,31_0,0.99828005,1,0.99828005,1
