query,category
How do I edit my details?,edit_personal_details
is there a charge on withdrawals?,cash_withdrawal_charge
Why am I seeing a fee for transferring money?,transfer_fee_charged
"I keep trying to make a payment, but it doesn't work.",declined_card_payment
Do you have a children account available?,age_limit
Why is the exchange rate on my card payment different than I expected?,card_payment_wrong_exchange_rate
After transfering some money my balance hasn't changed.,balance_not_updated_after_bank_transfer
Can you please advise if there is something wrong with my card? I have had multiple rejections and do not know the reason. Thanks!,declined_card_payment
I'm suddenly getting an error while attempting a transfer that it isn't possible. Why? I've done it before.,beneficiary_not_allowed
How do I add my new card?,card_linking
Google play top up help?,apple_pay_or_google_pay
The exchange rate was wrong in the foreign country I got cash in.,wrong_exchange_rate_for_cash_withdrawal
please cancel the transaction,cancel_transfer
"I topped up and went to buy something, but it says that my funds are pending. Is there a way to quicken this process?",pending_top_up
"Needed gas, been delayed for half an hour.Please fix it!",pending_top_up
"I'd rather not use my physical card, how can I get a virtual card?",getting_virtual_card
"If I lost my phone, what steps do I need to take to stop someone from using my account?",lost_or_stolen_phone
Please provide me with the restrictions of the disposable cards.,disposable_card_limits
How can I top up my card with another card?,supported_cards_and_currencies
Why does it show that my transfer is still pending?,pending_transfer
Can currencies be exchanged on this app?,exchange_via_app
can i top up from a usa credit card,supported_cards_and_currencies
I need to freeze my card. There are charges on there that i did not authorize. They've been coming out for a couple of days. Can i get this money back?,card_payment_not_recognised
"If I found an error in my account for a transaction I didn't make, how long to I have to dispute it?",direct_debit_payment_not_recognised
Are there any fees to get additional cards?,getting_spare_card
Please help me cancel a transaction.,cancel_transfer
I did a card payment but its status is still coming as pending. Please check and inform when it would complete.,pending_card_payment
Why did my card payment not work?,declined_card_payment
I question today's exchange rate for rubles into pounds. I was hoping for a better return.,card_payment_wrong_exchange_rate
How long is the wait for a money transfer to post?,pending_transfer
What would I be charged in receiving a SEPA transfer?,top_up_by_bank_transfer_charge
Why have I been charged an extra pound?,extra_charge_on_statement
How come I got charged extra for withdrawing cash?,cash_withdrawal_charge
What do I do after my card expires?,card_about_to_expire
Where can I get a physical card?,order_physical_card
What is the way to go about getting a virtual card?,getting_virtual_card
Are all fiat currencies supported?,fiat_currency_support
I have cancelled payments to this card.,reverted_card_payment?
There is unusual activity on my account and I believe someone took my card.,compromised_card
"When I travel, can it automatically add money in certain intervals?",automatic_top_up
Why can I not get cash from the ATM?,declined_cash_withdrawal
What value can I get for my currency?,exchange_rate
Are there going to be fees from adding money with an international card?,top_up_by_card_charge
Was I charged extra for using my card?,card_payment_fee_charged
How long does a transfer take to reach one's account.,transfer_timing
Has my top-up gone through?,top_up_reverted
Why hasn't payment gone through yet?,pending_card_payment
"How can I get my money back on an order. I haven't gotten the item yet, so I want to cancel the order. How?",request_refund
My top up says it is still pending,pending_top_up
"I need to top up, can I use google pay?",apple_pay_or_google_pay
Why are top-ups being verified?,verify_top_up
I took out money and there is a fee.  Why?,cash_withdrawal_charge
The app is showing mt withdrawals that aren't  mine.,cash_withdrawal_not_recognised
I was just needing to know why my card got declined,declined_card_payment
Instructions for activating card,activate_my_card
how long will my cash withdrawal be pending for?,pending_cash_withdrawal
Please help revert my transaction from this morning.,cancel_transfer
The exchange rate looks wrong on a holiday purchase,card_payment_wrong_exchange_rate
"My money has gone missing. I had recently added money in, and saw it was there and went through. Now it's missing. What is happening?",top_up_reverted
I don't want to give you all my identify details.,why_verify_identity
I made a transfer the day before yesterday within this country. It is still not showing up at all. I have double-checked and the account number is certainly right. I've actually type this multiple times. can you look into what is going on here?,transfer_not_received_by_recipient
What is wrong with the exchange rate? This should have been a much higher amount of cash for that to apply.,wrong_exchange_rate_for_cash_withdrawal
There is a strange payment on my card and I don't know what to do.,card_payment_not_recognised
How long will my transaction take?,transfer_not_received_by_recipient
I need a refund. This is not what i wanted.,request_refund
How do I exchange AUD for GBP?,exchange_via_app
Can I top up online?,top_up_by_cash_or_cheque
What is this extra fee on my statement.,extra_charge_on_statement
How do I go about verifying my identity?,verify_my_identity
How do i verify my card?,verify_top_up
I would like to cancel a transfer...is this possible?,cancel_transfer
Can I track when my card will be delivered?,card_arrival
"Hello, in these holidays i have been overcharged on the amount i have withdrawn on one of your ATMs. I did not had any clue about the horrible charges otherwise i would not have withdrawn.",wrong_exchange_rate_for_cash_withdrawal
Why can't a beneficiary receive a money transfer from me?,beneficiary_not_allowed
I was informed that transfers were free. I noticed I have a fee but why?,transfer_fee_charged
I can't find the top-up card verification code.,verify_top_up
How can I find out about an extra fee on my statement?,extra_charge_on_statement
I just looked over my statement and I don't recognize the name of a card payment.,card_payment_not_recognised
i need help finding the auto top up option.,automatic_top_up
I made a transfer but my balance hasn't been updated,balance_not_updated_after_bank_transfer
How can I close my account?,terminate_account
Why isn't my cheque deposit showing on my account?  I though it would be faster and would like to to look into it and help.,balance_not_updated_after_cheque_or_cash_deposit
There is a €1 extra fee in my statement,extra_charge_on_statement
Where is this card accepted?,card_acceptance
"Do you not accept crypto transfers from certain places? Because when I tried to do a top up the money just disappeared. Im not sure what to do or what I'm doing wrong, please help.",top_up_reverted
I thought you guys offered free transfers. Why was I charged?,transfer_fee_charged
A transaction is showing more than once.,transaction_charged_twice
"In the app, I see a withdrawal I didn't make.",cash_withdrawal_not_recognised
I have an unknown direct debit payment on my account,direct_debit_payment_not_recognised
Is there an auto top up feature?,automatic_top_up
I have made several unsuccessful attempts to make a transfer.  I'm getting frustrated at getting error messages and it not going through.,beneficiary_not_allowed
why do i have a failed transfer,failed_transfer
