query,category
"I made a big purchase that I regretted and cancelled, the merchant said that my refund was submitted. Can you confirm to me that all of my money was truly returned to me?",Refund_not_showing_up
I am still waiting to find out the status of my refund. I have made previous attempts to find out what the status is to no avail. Will you please look into this for me?,Refund_not_showing_up
"As advised by you, i requested seller to refund my money. A week has passed but i haven't got any update from seller. Please track the refund with the seller.",Refund_not_showing_up
"Hurry and refund me, I am waiting",Refund_not_showing_up
I was supposed to get a refund but I do not see it.,Refund_not_showing_up
"I need to activate my card, how is that done?",activate_my_card
"My new card has arrived, what's the activation procedure?",activate_my_card
I need to do a card activation.,activate_my_card
"I am unable to activate my card, it won't let me.",activate_my_card
I tried activating my card and it didn't work,activate_my_card
As my kids get older are they able to get set up with their own accounts?,age_limit
How old does my daughter have to be to open an account?,age_limit
How old do I need to be?,age_limit
"I need to set up an account for my daughter, how would I do that?",age_limit
Is there a limit for age?,age_limit
I can't get google pay to work right.,apple_pay_or_google_pay
"I got my American Express in Apple Pay, why is top up not working in my country?",apple_pay_or_google_pay
"I got my American Express in Apple Pay, why is top up not working correctly?",apple_pay_or_google_pay
Is it possible for me to top up with Google Pay?,apple_pay_or_google_pay
What should I do to top up using my Apple Watch?,apple_pay_or_google_pay
Can you tell me the ATMs I can use with my card?,atm_support
I can use this card at which ATMs?,atm_support
Where are the ATMs that accept this card?,atm_support
What ATMs can I use my card at?,atm_support
Can I use this card at any ATM?,atm_support
Are there any limit on the auto top-up?,automatic_top_up
I have a trip coming up and want to add money automatically.,automatic_top_up
Can I set it up to add money every few days automatically while I am traveling?,automatic_top_up
How do I get refills to my card when I'm traveling?,automatic_top_up
when i travel can it top up automatically,automatic_top_up
My transfer to my account is missing.,balance_not_updated_after_bank_transfer
What is the normal time to make an international transfer? I made one a few days ago that still hasn't arrived.,balance_not_updated_after_bank_transfer
Tell me why my balance did not change when I tranferred cash.,balance_not_updated_after_bank_transfer
Why is my transfer not showing,balance_not_updated_after_bank_transfer
Hello I have a UK account.  Can you please check if everything is alright with it?  I made a transfer a couple hours ago but it doesn't show up yet.,balance_not_updated_after_bank_transfer
I did a cash deposit to my account but it doesn't show up,balance_not_updated_after_cheque_or_cash_deposit
I deposited a cheque but the cash hasn't arrived yet,balance_not_updated_after_cheque_or_cash_deposit
When will I receive the cash payment from the check I deposited?,balance_not_updated_after_cheque_or_cash_deposit
The cheque I deposited isn't showing in my account,balance_not_updated_after_cheque_or_cash_deposit
Why am I still not able to see the money I deposited a week ago? This is urgent!!,balance_not_updated_after_cheque_or_cash_deposit
My transfer to a beneficiary was rejected.,beneficiary_not_allowed
Am I allowed to transfer money to a beneficiary?,beneficiary_not_allowed
Why was my transfer stopped ?,beneficiary_not_allowed
I am trying  to  transfer and  it has been  stopped why is  that,beneficiary_not_allowed
"I was trying to make a transfer and got an error message telling me it was not possible to make the transfer. This has never happened before, what happened?",beneficiary_not_allowed
I need to cancel a transaction immediately.,cancel_transfer
I entered a typo when I was transferring money and now I've sent it to an incorrect account.  This is so bad!  I need it cancelled now.,cancel_transfer
Please cancel the transfer I just made.  I put in the wrong account number and can't seem to stop it on the app.,cancel_transfer
The wrong account was used during a transaction.,cancel_transfer
"Could you refund my transaction, I paid it into the wrong account. I need to be able to pay it into the right account by tomorrow.",cancel_transfer
I will need a new card because mine is almost expired.  How fast do I get a replacement and what is the cost?,card_about_to_expire
"When will I get a new card when I order it, and how much will it cost.",card_about_to_expire
"My card's expiring a month from now, should I place an order for the new card?",card_about_to_expire
What is the procedure for an expired card?,card_about_to_expire
What happens when my card expires?,card_about_to_expire
Is there anywhere I can't use my card?,card_acceptance
Is the card welcomed by everybody?,card_acceptance
Can I use my card while on vacation overseas?,card_acceptance
Where do I pay with my debit or credit card?,card_acceptance
In what places can I use my card?,card_acceptance
"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival
Where is my new card if I haven't received it yet?,card_arrival
Is there a reason my new card hasn't arrived?,card_arrival
Do you have a tracking number for the card I was sent?,card_arrival
What is the expected delivery date for my card?,card_arrival
When will my card come? I need it as soon as possible!,card_delivery_estimate
Send me my card now! ASAP,card_delivery_estimate
Can I get my card fast tracked?,card_delivery_estimate
How long will it take to have my card mailed to me?,card_delivery_estimate
What is the wait time for delivery to the US?,card_delivery_estimate
if i found a lost card can i put it back in app,card_linking
"I found my card in my jacket this morning, so can I reactivate it?",card_linking
I want my card I just received to show up in the app. How do I do that?,card_linking
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,card_linking
I found my lost card. Am I still able to use it?,card_linking
Something's wrong my card won't work.,card_not_working
Currently I can't get my card to work.,card_not_working
How do I fix a broken card?,card_not_working
Help.  My card is broken.,card_not_working
"Suddenly, my card won't work.",card_not_working
You promised no fees but now I've got one. What the hell!?,card_payment_fee_charged
Why was there an extra charge because I used my card to pay?,card_payment_fee_charged
I saw a fee on my app from one of my payments and I wasn't sure where it came from. Is there a way you can tell me when there's an additional fee for my payments?,card_payment_fee_charged
"How do I see what fees I am supposed to be charged on my account? I've noticed fees on some transactions, but not on others. This is very confusing and I cannot find a pattern to what I am being charged?",card_payment_fee_charged
I was charged an extra fee for a card payment. I was unaware of these fees beforehand.,card_payment_fee_charged
I believe there is a mistake because a payment I didn't make shows in my app.,card_payment_not_recognised
I looked at my statement and found a payment I and found a mistake.,card_payment_not_recognised
