test_case_id,chunk_id,pred_prob,pred_label,max_pred_prob,example_pred_label
26104577,1935_0,0.96544737,1,0.96544737,1
26104577,1935_313,0.8947236,1,0.96544737,1
financebench_id_02656,2020_0,0.69995195,1,0.7887971,1
financebench_id_02656,2020_320,0.74247736,1,0.7887971,1
financebench_id_02656,2020_640,0.7887971,1,0.7887971,1
financebench_id_08319,2069_0,0.5524369,1,0.5524369,1
financebench_id_08319,2069_325,0.5270894,1,0.5524369,1
12135,3039_0,0.8810645,1,0.983435,1
12135,3039_95,0.983435,1,0.983435,1
21442579,1228_0,0.062357947,0,0.17339468,0
21442579,1228_279,0.17339468,0,0.17339468,0
ba0f6037-5bcb-4ae4-bb2e-f5d547c2b633,993_0,0.52661103,1,0.52661103,1
financebench_id_08079,2854_0,0.51717067,1,0.51717067,1
financebench_id_08079,2854_346,0.5061844,1,0.51717067,1
financebench_id_02310,2497_0,0.22955896,0,0.22955896,0
12706,3160_0,0.87236977,1,0.87236977,1
12706,3160_144,0.6415774,1,0.87236977,1
29731bc5-188f-4bab-a2c0-5848e2847860,474_0,0.001721763,0,0.001721763,0
12917,3185_0,0.9975199,1,0.9975199,1
12043,3019_0,0.9967849,1,0.9967849,1
9146771,1827_0,0.106933475,0,0.106933475,0
financebench_id_04278,2077_0,0.5701011,1,0.5701011,1
financebench_id_04278,2077_322,0.5202451,1,0.5701011,1
16150,3712_0,0.9980725,1,0.9980725,1
financebench_id_04750,2978_0,0.51857454,1,0.524614,1
financebench_id_04750,2978_328,0.524614,1,0.524614,1
financebench_id_04750,2978_656,0.50451475,1,0.524614,1
financebench_id_08011,2587_0,0.55915594,1,0.56436145,1
financebench_id_08011,2587_298,0.53998804,1,0.56436145,1
financebench_id_08011,2587_596,0.5308639,1,0.56436145,1
financebench_id_08011,2587_894,0.56436145,1,0.56436145,1
financebench_id_00268,2526_0,0.45212045,0,0.45212045,0
e406d360-a2ee-4276-b041-c54746fb2352,40_0,0.52434117,1,0.52434117,1
15789,3669_0,0.19388911,0,0.19388911,0
financebench_id_07505,2367_0,0.49779305,0,0.49779305,0
24309268,1805_0,0.22730282,0,0.22730282,0
financebench_id_06295,2282_0,0.60544,1,0.60544,1
financebench_id_06295,2282_348,0.5336028,1,0.60544,1
financebench_id_02696,2430_0,0.55912966,1,0.55912966,1
financebench_id_02696,2430_344,0.5261329,1,0.55912966,1
financebench_id_05020,2109_0,0.51792073,1,0.51792073,1
13469,3293_0,0.29383013,0,0.29383013,0
13469,3293_242,0.2314347,0,0.29383013,0
financebench_id_01676,2874_0,0.49694717,0,0.49694717,0
16665,3765_0,0.124965295,0,0.124965295,0
20eba3da-6af7-494f-a96f-2d84af1b4083,219_0,0.012034862,0,0.012034862,0
b783c527-2b23-4ad4-ab2d-9a6cd2136d42,853_0,0.988122,1,0.988122,1
financebench_id_06462,2104_0,0.520443,1,0.520443,1
financebench_id_06462,2104_344,0.46636286,0,0.520443,1
eaade28f-23d2-44dd-b843-c1593dd0b521,484_0,0.0018726768,0,0.0018726768,0
f3280001-b8f8-452b-957d-1d1764cd3ba7,403_0,0.0029206504,0,0.0029206504,0
13294,3250_0,0.5370478,1,0.686751,1
13294,3250_245,0.686751,1,0.686751,1
f3e81d97-375e-4fe0-b580-43dcac2d07a6,988_0,0.61400026,1,0.61400026,1
financebench_id_05933,2841_0,0.48909718,0,0.48909718,0
financebench_id_05933,2841_311,0.48151323,0,0.48909718,0
financebench_id_05933,2841_622,0.48384926,0,0.48909718,0
financebench_id_05933,2841_933,0.41357127,0,0.48909718,0
18592788,1726_0,0.97260416,1,0.97260416,1
13041,3189_0,0.90323156,1,0.99044937,1
13041,3189_148,0.99044937,1,0.99044937,1
13041,3189_296,0.9885766,1,0.99044937,1
financebench_id_06723,2682_0,0.5404865,1,0.5404865,1
financebench_id_08032,2399_0,0.56597465,1,0.59612405,1
financebench_id_08032,2399_329,0.59612405,1,0.59612405,1
financebench_id_08032,2399_658,0.58788925,1,0.59612405,1
financebench_id_08032,2399_987,0.530005,1,0.59612405,1
12693,3153_0,0.03164969,0,0.03164969,0
12693,3153_171,0.021201134,0,0.03164969,0
15130,3538_0,0.8233936,1,0.9965765,1
15130,3538_171,0.9946009,1,0.9965765,1
15130,3538_342,0.9965765,1,0.9965765,1
13260,3240_0,0.9919071,1,0.9919071,1
13260,3240_268,0.6959924,1,0.9919071,1
17514,3876_0,0.9968623,1,0.9972277,1
17514,3876_223,0.9972277,1,0.9972277,1
16155,3717_0,0.86631143,1,0.86631143,1
53851614-70a8-4a1c-8a8d-4435c053fd45,601_0,0.9911425,1,0.9911425,1
16356,3720_0,0.9975504,1,0.9975504,1
131f072d-d892-4f0f-9b35-178cae8e7e29,121_0,0.2212535,0,0.53592235,1
131f072d-d892-4f0f-9b35-178cae8e7e29,121_365,0.53592235,1,0.53592235,1
financebench_id_08880,2002_0,0.5109799,1,0.5109799,1
financebench_id_08880,2002_344,0.49681595,0,0.5109799,1
18193068,1262_0,0.9678825,1,0.9689826,1
18193068,1262_293,0.9689826,1,0.9689826,1
financebench_id_08435,2480_0,0.52243817,1,0.52243817,1
04e10d50-4ba2-4dd8-b6b6-0b54c37b9549,50_0,0.14274214,0,0.14274214,0
financebench_id_09000,2135_0,0.47253382,0,0.47253382,0
financebench_id_09000,2135_329,0.4613456,0,0.47253382,0
financebench_id_00678,2965_0,0.44108874,0,0.44108874,0
9b3e1020-b856-4ee9-89bd-d63d7fe98b32,863_0,0.9884537,1,0.9884537,1
24022305,1474_0,0.9698146,1,0.9698146,1
21113014,1213_0,0.79047006,1,0.79047006,1
financebench_id_10424,2008_0,0.4691451,0,0.46947268,0
financebench_id_10424,2008_315,0.46947268,0,0.46947268,0
financebench_id_10424,2008_630,0.45950136,0,0.46947268,0
15717,3633_0,0.04613773,0,0.051783863,0
15717,3633_204,0.051783863,0,0.051783863,0
213e2328-2bc9-4486-af7d-9d2c6b5c7192,955_0,0.561416,1,0.561416,1
14198,3368_0,0.9982509,1,0.9982509,1
