test_case_id,chunk_id,pred_prob,pred_label,max_pred_prob,example_pred_label,true_label,source_ds,source
26104577,1935_0,0.96544737,1,0.96544737,1,0,pubmedQA,halubench
financebench_id_02656,2020_0,0.69995195,1,0.7887971,1,0,FinanceBench,halubench
financebench_id_08319,2069_0,0.5524369,1,0.5524369,1,0,FinanceBench,halubench
12135,3039_0,0.8810645,1,0.983435,1,1,RAGTruth,halubench
21442579,1228_0,0.062357947,0,0.17339468,0,1,pubmedQA,halubench
ba0f6037-5bcb-4ae4-bb2e-f5d547c2b633,993_0,0.52661103,1,0.52661103,1,1,DROP,halubench
financebench_id_08079,2854_0,0.51717067,1,0.51717067,1,1,FinanceBench,halubench
financebench_id_02310,2497_0,0.22955896,0,0.22955896,0,0,FinanceBench,halubench
12706,3160_0,0.87236977,1,0.87236977,1,1,RAGTruth,halubench
29731bc5-188f-4bab-a2c0-5848e2847860,474_0,0.001721763,0,0.001721763,0,0,DROP,halubench
12917,3185_0,0.9975199,1,0.9975199,1,0,RAGTruth,halubench
12043,3019_0,0.9967849,1,0.9967849,1,1,RAGTruth,halubench
9146771,1827_0,0.106933475,0,0.106933475,0,0,pubmedQA,halubench
financebench_id_04278,2077_0,0.5701011,1,0.5701011,1,0,FinanceBench,halubench
16150,3712_0,0.9980725,1,0.9980725,1,1,RAGTruth,halubench
financebench_id_04750,2978_0,0.51857454,1,0.524614,1,1,FinanceBench,halubench
financebench_id_08011,2587_0,0.55915594,1,0.56436145,1,1,FinanceBench,halubench
financebench_id_00268,2526_0,0.45212045,0,0.45212045,0,1,FinanceBench,halubench
e406d360-a2ee-4276-b041-c54746fb2352,40_0,0.52434117,1,0.52434117,1,0,DROP,halubench
15789,3669_0,0.19388911,0,0.19388911,0,1,RAGTruth,halubench
financebench_id_07505,2367_0,0.49779305,0,0.49779305,0,0,FinanceBench,halubench
24309268,1805_0,0.22730282,0,0.22730282,0,0,pubmedQA,halubench
financebench_id_06295,2282_0,0.60544,1,0.60544,1,0,FinanceBench,halubench
financebench_id_02696,2430_0,0.55912966,1,0.55912966,1,0,FinanceBench,halubench
financebench_id_05020,2109_0,0.51792073,1,0.51792073,1,0,FinanceBench,halubench
13469,3293_0,0.29383013,0,0.29383013,0,0,RAGTruth,halubench
financebench_id_01676,2874_0,0.49694717,0,0.49694717,0,1,FinanceBench,halubench
16665,3765_0,0.124965295,0,0.124965295,0,1,RAGTruth,halubench
20eba3da-6af7-494f-a96f-2d84af1b4083,219_0,0.012034862,0,0.012034862,0,0,DROP,halubench
b783c527-2b23-4ad4-ab2d-9a6cd2136d42,853_0,0.988122,1,0.988122,1,1,DROP,halubench
financebench_id_06462,2104_0,0.520443,1,0.520443,1,0,FinanceBench,halubench
eaade28f-23d2-44dd-b843-c1593dd0b521,484_0,0.0018726768,0,0.0018726768,0,0,DROP,halubench
f3280001-b8f8-452b-957d-1d1764cd3ba7,403_0,0.0029206504,0,0.0029206504,0,0,DROP,halubench
13294,3250_0,0.5370478,1,0.686751,1,1,RAGTruth,halubench
f3e81d97-375e-4fe0-b580-43dcac2d07a6,988_0,0.61400026,1,0.61400026,1,1,DROP,halubench
financebench_id_05933,2841_0,0.48909718,0,0.48909718,0,1,FinanceBench,halubench
18592788,1726_0,0.97260416,1,0.97260416,1,0,pubmedQA,halubench
13041,3189_0,0.90323156,1,0.99044937,1,1,RAGTruth,halubench
financebench_id_06723,2682_0,0.5404865,1,0.5404865,1,1,FinanceBench,halubench
financebench_id_08032,2399_0,0.56597465,1,0.59612405,1,0,FinanceBench,halubench
12693,3153_0,0.03164969,0,0.03164969,0,0,RAGTruth,halubench
15130,3538_0,0.8233936,1,0.9965765,1,1,RAGTruth,halubench
